[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 59 x 30, 21.290000, 21.560000, 88.500000, 0.000000, 0.010000, 0 x 1243, 0.000000, -0.001570, 0.000740, 0.000730, -0.005280, -0.000100, 1.455320, , 21.500000, 0.195000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 1.000000, 19.550000, 11 x 41, 20.910000, 21.050000, 89.000000, 0.000000, 0.010000, 0 x 1242, 0.000000, -0.001930, 0.000750, 0.000450, -0.005490, -0.000390, 1.420520, , 21.000000, 0.191000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 59 x 33, 20.300000, 20.550000, 89.500000, 0.000000, 0.010000, 0 x 1243, 0.000000, -0.002300, 0.000790, 0.000220, -0.004620, 0.000000, 1.386260, , 20.500000, 0.186000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.942560, 0.001790, 0.005790, -0.010130, -0.000140, 2.195380, 5.000000, 19.170000, 2 x 23, 19.910000, 20.100000, 90.000000, 0.000000, 0.010000, 0 x 1242, 0.000000, -0.002560, 0.000910, -0.000030, -0.005370, -0.000410, 1.351130, , 20.000000, 0.182000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 59 x 33, 19.300000, 19.550000, 90.500000, 0.000000, 0.010000, 0 x 1242, 0.000000, -0.002190, 0.000890, 0.000870, -0.005240, -0.000080, 1.317490, , 19.500000, 0.177000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 59 x 33, 18.800000, 19.050000, 91.000000, 0.000000, 0.010000, 0 x 1243, 0.000000, -0.002150, 0.000920, 0.000220, -0.004860, -0.000150, 1.282770, , 19.000000, 0.173000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 59 x 33, 18.290000, 18.550000, 91.500000, 0.000000, 0.010000, 0 x 1194, 0.000000, -0.002450, 0.000960, 0.000320, -0.004740, 0.000000, 1.248120, , 18.500000, 0.168000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 59 x 33, 17.800000, 18.050000, 92.000000, 0.000000, 0.010000, 0 x 1242, 0.000000, -0.001980, 0.001080, 0.000330, -0.005160, 0.000000, 1.214770, , 18.000000, 0.164000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 5.000000, 15.800000, 59 x 47, 17.300000, 17.550000, 92.500000, 0.000000, 0.010000, 0 x 1243, 0.000000, -0.002540, 0.001150, 0.000180, -0.005490, 0.000000, 1.180660, , 17.500000, 0.159000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 897 x 408, 16.790000, 17.100000, 93.000000, 0.000000, 0.020000, 0 x 1193, 0.010000, -0.002980, 0.001170, 0.000920, -0.005160, -0.000330, 1.147450, 35.000000, 17.000000, 0.154000
